Badminton,Men's Singles,1,1,1,CHN,CHEN Long ,MAS,LEE Chong Wei ,DEN,AXELSEN Viktor 
Badminton,Mixed Doubles,1,1,1,INA,Natsir / Ahmad,MAS,Chan / Goh,CHN,Zhang / Zhao
Badminton,Women's Doubles,1,1,1,JPN,Takahashi / Matsutomo,DEN,Rytter juhl / Pedersen,KOR,Jung / Shin
Badminton,Women's Singles,1,1,1,ESP,MARIN Carolina ,IND,PUSARLA V. Sindhu ,JPN,OKUHARA Nozomi 
Basketball,Men,1,1,1,USA,United States,SRB,Serbia,ESP,Spain
Basketball,Women,1,1,1,USA,United States,ESP,Spain,SRB,Serbia
Beach Volleyball,Men,1,1,1,BRA,Cerutti / Oscar Schmidt,ITA,Nicolai / Lupo,NED,Meeuwsen / Brouwer
Beach Volleyball,Women,1,1,1,GER,Ludwig / Walkenhorst,BRA,Bednarczuk / Seixas de Freitas,USA,Ross / Walsh Jennings
Boxing,Men's Bantam (56kg),1,1,2,CUB,RAMIREZ Robeisy ,USA,STEVENSON Shakur ,UZBRUS,AKHMADALIEV Murodjon NIKITIN Vladimir 
Boxing,Men's Fly (52kg),1,1,2,UZB,ZOIROV Shakhobidin ,RUS,ALOIAN Misha ,CHNVEN,HU Jianguan FINOL Yoel Segundo 
Boxing,Men's Heavy (91kg),1,1,2,RUS,TISHCHENKO Evgeny ,KAZ,LEVIT Vassiliy ,CUBUZB,SAVON Erislandy TULAGANOV Rustam 
Boxing,Men's Light (60kg),1,1,2,BRA,CONCEICAO Robson ,FRA,OUMIHA Sofiane ,MGLCUB,DORJNYAMBUU Otgondalai ALVAREZ Lazaro Jorge 
Boxing,Men's Light Fly (46-49kg),1,1,2,UZB,DUSMATOV Hasanboy ,COL,MARTINEZ Yurberjen Herney ,USACUB,HERNANDEZ Nico Miguel ARGILAGOS Joahnys 
Boxing,Men's Light Heavy (81kg),1,1,2,CUB,LA CRUZ Julio Cesar ,KAZ,NIYAZYMBETOV Adilbek ,FRAGBR,BAUDERLIQUE Mathieu Albert Daniel BUATSI Joshua 
Boxing,Men's Light Welter (64kg),1,1,2,UZB,GAIBNAZAROV Fazliddin ,AZE,SOTOMAYOR COLLAZO Lorenzo ,RUSGER,DUNAYTSEV Vitaly HARUTYUNYAN Artem 
Boxing,Men's Middle (75kg),1,1,2,CUB,LOPEZ Arlen ,UZB,MELIKUZIEV Bektemir ,MEXAZE,RODRIGUEZ Misael Uziel SHAKHSUVARLY Kamran 
Boxing,Men's Super Heavy (+91kg),1,1,2,FRA,YOKA Tony Victor James ,GBR,JOYCE Joe ,KAZCRO,DYCHKO Ivan HRGOVIC Filip 
Boxing,Men's Welter (69kg),1,1,2,KAZ,YELEUSSINOV Daniyar ,UZB,GIYASOV Shakhram ,FRAMAR,CISSOKHO Souleymane Diop RABII Mohammed 
Boxing,Women's Fly (48-51kg),1,1,2,GBR,ADAMS Nicola ,FRA,OURAHMOUNE Sarah ,COLCHN,VALENCIA VICTORIA Ingrit Lorena REN Cancan 
Boxing,Women's Light (57-60kg),1,1,2,FRA,MOSSELY Estelle ,CHN,YIN Junhua ,FINRUS,POTKONEN Mira BELIAKOVA Anastasiia 
Boxing,Women's Middle (69-75kg),1,1,2,USA,SHIELDS Claressa Maria ,NED,FONTIJN Nouchka ,KAZCHN,SHAKIMOVA Dariga LI Qian 
Canoe Slalom,Canoe Double (C2) Men,1,1,1,SVK,Skantar / Skantar,GBR,Florence / Hounslow,FRA,Peche / Klauss
Canoe Slalom,Canoe Single (C1) Men,1,1,1,FRA,GARGAUD CHANUT Denis ,SVK,BENUS Matej ,JPN,HANEDA Takuya 
Canoe Slalom,Kayak (K1) Men,1,1,1,GBR,CLARKE Joseph ,SLO,KAUZER Peter ,CZE,PRSKAVEC Jiri 
Canoe Slalom,Kayak (K1) Women,1,1,1,ESP,CHOURRAUT Maialen ,NZL,JONES Luuka ,AUS,FOX Jessica 
Canoe Sprint,Men's Canoe Double 1000m,1,1,1,GER,Brendel / Vandrey,BRA,de Souza Silva / Queiroz dos Santos,UKR,Ianchuk / Mishchuk
Canoe Sprint,Men's Canoe Single 1000m,1,1,1,GER,BRENDEL Sebastian ,BRA,QUEIROZ DOS SANTOS Isaquias ,MDA,TARNOVSCHI Serghei 
Canoe Sprint,Men's Canoe Single 200m,1,1,1,UKR,CHEBAN Iurii ,AZE,DEMYANENKO Valentin ,BRA,QUEIROZ DOS SANTOS Isaquias 
Canoe Sprint,Men's Kayak Double 1000m,1,1,1,GER,Gross / Rendschmidt,SRB,Tomicevic / Zoric,AUS,Tame / Wallace
Canoe Sprint,Men's Kayak Double 200m,1,1,1,ESP,Craviotto / Toro,GBR,Heath / Schofield,LTU,Ramanauskas / Lankas
Canoe Sprint,Men's Kayak Four 1000m,1,1,1,GER,Germany,SVK,Slovakia,CZE,Czech Republic
Canoe Sprint,Men's Kayak Single 1000m,1,1,1,ESP,WALZ Marcus ,CZE,DOSTAL Josef ,RUS,ANOSHKIN Roman 
Canoe Sprint,Men's Kayak Single 200m,1,1,2,GBR,HEATH Liam ,FRA,BEAUMONT Maxime ,ESPGER,CRAVIOTTO Saul RAUHE Ronald 
Canoe Sprint,Women's Kayak Double 500m,1,1,1,HUN,Kozak / Szabo,GER,Dietze / Weber,POL,Mikolajczyk / Naja
Canoe Sprint,Women's Kayak Four 500m,1,1,1,HUN,Hungary,GER,Germany,BLR,Belarus
Canoe Sprint,Women's Kayak Single 200m,1,1,1,NZL,CARRINGTON Lisa ,POL,WALCZYKIEWICZ Marta ,AZE,OSIPENKO-RODOMSKA Inna 
Canoe Sprint,Women's Kayak Single 500m,1,1,1,HUN,KOZAK Danuta ,DEN,JORGENSEN Emma ,NZL,CARRINGTON Lisa 
Cycling BMX,Men,1,1,1,USA,FIELDS Connor ,NED,VAN GORKOM Jelle ,COL,RAMIREZ YEPES Carlos Alberto 
Cycling BMX,Women,1,1,1,COL,PAJON Mariana ,USA,POST Alise ,VEN,HERNANDEZ Stefany 
Cycling Mountain Bike,Men's Cross-country,1,1,1,SUI,SCHURTER Nino ,CZE,KULHAVY Jaroslav ,ESP,COLOMA NICOLAS Carlos 
Cycling Mountain Bike,Women's Cross-country,1,1,1,SWE,RISSVEDS Jenny ,POL,WLOSZCZOWSKA Maja ,CAN,PENDREL Catharine 
Cycling Road,Men's Individual Time Trial,1,1,1,SUI,CANCELLARA Fabian ,NED,DUMOULIN Tom ,GBR,FROOME Christopher 
Cycling Road,Men's Road Race,1,1,1,BEL,VAN AVERMAET Greg ,DEN,FUGLSANG Jakob ,POL,MAJKA Rafal 
Cycling Road,Women's Individual Time Trial,1,1,1,USA,ARMSTRONG Kristin ,RUS,ZABELINSKAYA Olga ,NED,VAN DER BREGGEN Anna 
Cycling Road,Women's Road Race,1,1,1,NED,VAN DER BREGGEN Anna ,SWE,JOHANSSON Emma ,ITA,LONGO BORGHINI Elisa 
Cycling Track,Men's Keirin,1,1,1,GBR,KENNY Jason ,NED,BUCHLI Matthijs ,MAS,AWANG Azizulhasni 
Cycling Track,Men's Omnium,1,1,1,ITA,VIVIANI Elia ,GBR,CAVENDISH Mark ,DEN,HANSEN Lasse Norman 
Cycling Track,Men's Sprint,1,1,1,GBR,KENNY Jason ,GBR,SKINNER Callum ,RUS,DMITRIEV Denis 
Cycling Track,Men's Team Pursuit,1,1,1,GBR,Great Britain,AUS,Australia,DEN,Denmark
Cycling Track,Men's Team Sprint,1,1,1,GBR,Great Britain,NZL,New Zealand,FRA,France
Cycling Track,Women's Keirin,1,1,1,NED,LIGTLEE Elis ,GBR,JAMES Rebecca ,AUS,MEARES Anna 
